Date,totalPositions,gmv
1/1/2014,0.0,0.0
2/1/2014,158.0,316000000.0
3/1/2014,161.0,322000000.0
6/1/2014,162.0,324000000.0
7/1/2014,163.0,326000000.0
8/1/2014,153.0,306000000.0
9/1/2014,152.0,304000000.0
10/1/2014,142.0,284000000.0
13/1/2014,150.0,300000000.0
14/1/2014,150.0,300000000.0
15/1/2014,138.0,276000000.0
16/1/2014,140.0,280000000.0
17/1/2014,135.0,270000000.0
20/1/2014,127.0,254000000.0
21/1/2014,137.0,274000000.0
22/1/2014,141.0,282000000.0
23/1/2014,134.0,268000000.0
24/1/2014,149.0,298000000.0
27/1/2014,146.0,292000000.0
28/1/2014,128.0,256000000.0
29/1/2014,142.0,284000000.0
30/1/2014,141.0,282000000.0
31/1/2014,124.0,248000000.0
3/2/2014,113.0,226000000.0
4/2/2014,139.0,278000000.0
5/2/2014,136.0,272000000.0
6/2/2014,147.0,294000000.0
7/2/2014,124.0,248000000.0
10/2/2014,153.0,306000000.0
11/2/2014,96.0,192000000.0
12/2/2014,100.0,200000000.0
13/2/2014,109.0,218000000.0
14/2/2014,100.0,200000000.0
17/2/2014,99.0,198000000.0
18/2/2014,108.0,216000000.0
19/2/2014,116.0,232000000.0
20/2/2014,108.0,216000000.0
21/2/2014,113.0,226000000.0
24/2/2014,103.0,206000000.0
25/2/2014,108.0,216000000.0
26/2/2014,104.0,208000000.0
27/2/2014,111.0,222000000.0
28/2/2014,121.0,242000000.0
3/3/2014,117.0,234000000.0
4/3/2014,109.0,218000000.0
5/3/2014,113.0,226000000.0
6/3/2014,111.0,222000000.0
7/3/2014,112.0,224000000.0
10/3/2014,106.0,212000000.0
11/3/2014,109.0,218000000.0
12/3/2014,112.0,224000000.0
13/3/2014,116.0,232000000.0
14/3/2014,115.0,230000000.0
17/3/2014,111.0,222000000.0
18/3/2014,117.0,234000000.0
19/3/2014,121.0,242000000.0
20/3/2014,125.0,250000000.0
21/3/2014,166.0,332000000.0
24/3/2014,162.0,324000000.0
25/3/2014,147.0,294000000.0
26/3/2014,160.0,320000000.0
27/3/2014,174.0,348000000.0
28/3/2014,161.0,322000000.0
31/3/2014,167.0,334000000.0
1/4/2014,152.0,304000000.0
2/4/2014,158.0,316000000.0
3/4/2014,148.0,296000000.0
4/4/2014,142.0,284000000.0
7/4/2014,111.0,222000000.0
8/4/2014,149.0,298000000.0
9/4/2014,153.0,306000000.0
10/4/2014,158.0,316000000.0
11/4/2014,163.0,326000000.0
14/4/2014,142.0,284000000.0
15/4/2014,143.0,286000000.0
16/4/2014,135.0,270000000.0
17/4/2014,138.0,276000000.0
18/4/2014,141.0,282000000.0
21/4/2014,139.0,278000000.0
22/4/2014,135.0,270000000.0
23/4/2014,138.0,276000000.0
24/4/2014,139.0,278000000.0
25/4/2014,145.0,290000000.0
